company_id,name,link,link_google,thumbnail
1,Company 001,https://example.com/company/1,https://www.google.com/search?q=Company+001,https://example.com/logo/1.png
2,Company 002,https://example.com/company/2,https://www.google.com/search?q=Company+002,https://example.com/logo/2.png
3,Company 003,https://example.com/company/3,https://www.google.com/search?q=Company+003,https://example.com/logo/3.png
4,Company 004,https://example.com/company/4,https://www.google.com/search?q=Company+004,https://example.com/logo/4.png
5,Company 005,https://example.com/company/5,https://www.google.com/search?q=Company+005,https://example.com/logo/5.png
6,Company 006,https://example.com/company/6,https://www.google.com/search?q=Company+006,https://example.com/logo/6.png
7,Company 007,https://example.com/company/7,https://www.google.com/search?q=Company+007,https://example.com/logo/7.png
8,Company 008,https://example.com/company/8,https://www.google.com/search?q=Company+008,https://example.com/logo/8.png
9,Company 009,https://example.com/company/9,https://www.google.com/search?q=Company+009,https://example.com/logo/9.png
10,Company 010,https://example.com/company/10,https://www.google.com/search?q=Company+010,https://example.com/logo/10.png
11,Company 011,https://example.com/company/11,https://www.google.com/search?q=Company+011,https://example.com/logo/11.png
12,Company 012,https://example.com/company/12,https://www.google.com/search?q=Company+012,https://example.com/logo/12.png
13,Company 013,https://example.com/company/13,https://www.google.com/search?q=Company+013,https://example.com/logo/13.png
14,Company 014,https://example.com/company/14,https://www.google.com/search?q=Company+014,https://example.com/logo/14.png
15,Company 015,https://example.com/company/15,https://www.google.com/search?q=Company+015,https://example.com/logo/15.png
16,Company 016,https://example.com/company/16,https://www.google.com/search?q=Company+016,https://example.com/logo/16.png
17,Company 017,https://example.com/company/17,https://www.google.com/search?q=Company+017,https://example.com/logo/17.png
18,Company 018,https://example.com/company/18,https://www.google.com/search?q=Company+018,https://example.com/logo/18.png
19,Company 019,https://example.com/company/19,https://www.google.com/search?q=Company+019,https://example.com/logo/19.png
20,Company 020,https://example.com/company/20,https://www.google.com/search?q=Company+020,https://example.com/logo/20.png
21,Company 021,https://example.com/company/21,https://www.google.com/search?q=Company+021,https://example.com/logo/21.png
22,Company 022,https://example.com/company/22,https://www.google.com/search?q=Company+022,https://example.com/logo/22.png
